School,Avail,Apply,Ballot,Note
Admiralty Primary School,0,,,
Ahmad Ibrahim Primary School,98,20,,
Ai Tong School,0,,,
Alexandra Primary School,0,,,
Anchor Green Primary School,96,108,Y,Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school.
Anderson Primary School,0,,,
Ang Mo Kio Primary School,100,13,,
Anglo-Chinese School (Junior),0,,,
Anglo-Chinese School (Primary),0,,,
Angsana Primary School,31,66,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
Beacon Primary School,102,27,,
Bedok Green Primary School,120,74,,
Bendemeer Primary School,74,47,,
Blangah Rise Primary School,72,19,,
Boon Lay Garden Primary School,187,34,,
Bukit Panjang Primary School,0,,,
Bukit Timah Primary School,45,63,Y,Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school.
Bukit View Primary School,199,133,,
Canberra Primary School,0,,,
Canossa Catholic Primary School,4,23,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
Cantonment Primary School,93,47,,
Casuarina Primary School,29,37,Y,Balloting will be conducted for Permanent Resident children residing within 1km of the school.
Catholic High School (Primary Section),0,,,
Cedar Primary School,145,74,,
Changkat Primary School,97,18,,
CHIJ (Katong) Primary,59,57,,
CHIJ (Kellock),46,41,,
CHIJ Our Lady of Good Counsel,19,29,Y,Balloting will be conducted for Singapore Citizen children residing outside 2km of the school.
CHIJ Our Lady of the Nativity,0,,,
CHIJ Our Lady Queen of Peace,44,42,,
CHIJ Primary (Toa Payoh),0,,,
CHIJ St. Nicholas Girls' School (Primary Section),0,,,
Chongfu School,0,,,
Chongzheng Primary School,0,,,
Chua Chu Kang Primary School,0,,,
Clementi Primary School,112,125,Y,Balloting will be conducted for Singapore Citizen children residing outside 2km of the school.
Compassvale Primary School,0,,,
Concord Primary School,10,33,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
Corporation Primary School,97,31,,
Damai Primary School,140,30,,
Dazhong Primary School,7,65,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
De La Salle School,29,48,Y,Balloting will be conducted for Singapore Citizen children residing outside 2km of the school.
East Spring Primary School,55,26,,
Edgefield Primary School,54,65,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
Elias Park Primary School,0,,,
Endeavour Primary School,95,72,,
Evergreen Primary School,66,47,,
Fairfield Methodist School (Primary),0,,,
Farrer Park Primary School,76,59,,
Fengshan Primary School,0,,,
Fern Green Primary School,0,,,
Fernvale Primary School,35,77,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
First Toa Payoh Primary School,123,10,,
Frontier Primary School,0,,,
Fuchun Primary School,95,16,,
Fuhua Primary School,21,32,Y,Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school.
Gan Eng Seng Primary School,84,21,,
Geylang Methodist School (Primary),0,,,
Gongshang Primary School,0,,,
Greendale Primary School,102,71,,
Greenridge Primary School,82,26,,
Greenwood Primary School,31,33,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
Haig Girls' School,10,28,N,This school only has places for Singapore Citizen children residing within 1km of the school. No balloting will be conducted.
Henry Park Primary School,0,,,
Holy Innocents' Primary School,0,,,
Hong Wen School,0,,,
Horizon Primary School,0,,,
Hougang Primary School,0,,,
Huamin Primary School,0,,,
Innova Primary School,0,,,
Jiemin Primary School,22,27,N,This school only has places for Singapore Citizen children residing within 2km of the school. No balloting will be conducted.
Jing Shan Primary School,5,5,,
Junyuan Primary School,35,70,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
Jurong Primary School,27,41,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
Jurong West Primary School,0,,,
Keming Primary School,0,,,
Kheng Cheng School,30,55,N,This school only has places for Singapore Citizen children residing within 1km of the school. No balloting will be conducted.
Kong Hwa School,0,,,
Kranji Primary School,84,7,,
Kuo Chuan Presbyterian Primary School,0,,,
Lakeside Primary School,0,,,
Lianhua Primary School,203,60,,
Maha Bodhi School,0,,,
Maris Stella High School (Primary Section),0,,,
Marsiling Primary School,55,18,,
Marymount Convent School,120,101,,
Mayflower Primary School,77,59,,
Mee Toh School,0,,,
Meridian Primary School,86,9,,
Methodist Girls' School (Primary),0,,,
Montfort Junior School,72,64,,
Nan Chiau Primary School,0,,,
Nan Hua Primary School,0,,,
Nanyang Primary School,0,,,
Naval Base Primary School,0,,,
New Town Primary School,153,33,,
Ngee Ann Primary School,0,,,
North Spring Primary School,102,50,,
North View Primary School,26,58,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
North Vista Primary School,74,49,,
Northland Primary School,0,,,
Northoaks Primary School,172,13,,
Northshore Primary School,100,87,,
Oasis Primary School,0,,,
Opera Estate Primary School,43,43,,
Palm View Primary School,82,59,,
Park View Primary School,50,38,,
Pasir Ris Primary School,0,,,
Paya Lebar Methodist Girls' School (Primary),0,,,
Pei Chun Public School,0,,,
Pei Hwa Presbyterian Primary School,0,,,
Pei Tong Primary School,143,94,,
Peiying Primary School,62,82,Y,Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school.
Poi Ching School,0,,,
Princess Elizabeth Primary School,0,,,
Punggol Cove Primary School,12,21,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
Punggol Green Primary School,0,,,
Punggol Primary School,0,,,
Punggol View Primary School,0,,,
Qifa Primary School,0,,,
Qihua Primary School,102,14,,
Queenstown Primary School,6,24,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
Radin Mas Primary School,0,,,
Raffles Girls' Primary School,0,,,
Red Swastika School,0,,,
River Valley Primary School,0,,,
Riverside Primary School,0,,,
Rivervale Primary School,0,,,
Rosyth School,0,,,
Rulang Primary School,0,,,
Sembawang Primary School,0,,,
Seng Kang Primary School,129,68,,
Sengkang Green Primary School,0,,,
Shuqun Primary School,0,,,
Si Ling Primary School,80,12,,
Singapore Chinese Girls' Primary School,0,,,
South View Primary School,0,,,
Springdale Primary School,6,22,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
St. Andrew's Junior School,0,,,
St. Anthony's Canossian Primary School,153,51,,
St. Anthony's Primary School,0,,,
St. Gabriel's Primary School,0,,,
St. Hilda's Primary School,0,,,
St. Joseph's Institution Junior,0,,,
St. Margaret's Primary School,0,,,
St. Stephen's School,97,86,,
Tampines North Primary School,100,48,,
Tampines Primary School,5,19,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
Tanjong Katong Primary School,0,,,
Tao Nan School,0,,,
Teck Ghee Primary School,26,26,,
Teck Whye Primary School,145,43,,
Telok Kurau Primary School,12,28,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
Temasek Primary School,0,,,
Townsville Primary School,105,21,,
Unity Primary School,72,9,,
Valour Primary School,0,,,
Waterway Primary School,0,,,
Wellington Primary School,0,,,
West Grove Primary School,48,58,N,This school only has places for Singapore Citizen children. No balloting will be conducted.
West Spring Primary School,0,,,
West View Primary School,49,26,,
Westwood Primary School,0,,,
White Sands Primary School,0,,,
Woodgrove Primary School,0,,,
Woodlands Primary School,0,,,
Woodlands Ring Primary School,75,36,,
Xinghua Primary School,197,39,,
Xingnan Primary School,123,33,,
Xinmin Primary School,0,,,
Xishan Primary School,51,76,Y,Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school.
Yangzheng Primary School,0,,,
Yew Tee Primary School,78,32,,
Yio Chu Kang Primary School,105,93,,
Yishun Primary School,58,58,,
Yu Neng Primary School,0,,,
Yuhua Primary School,121,39,,
Yumin Primary School,89,41,,
Zhangde Primary School,1,8,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
Zhenghua Primary School,23,25,Y,Balloting will be conducted for Singapore Citizen children residing outside 2km of the school.
Zhonghua Primary School,108,30,,